Date/Time,Electricity:Facility [J](TimeStep)
 07/13  23:10:00,301203.068
 07/13  23:15:00,298622.8392
 07/13  23:20:00,291843.1484
 07/13  23:25:00,287027.1626
 07/13  23:30:00,282793.4865
 07/13  23:35:00,278693.9383
 07/13  23:40:00,274603.0511
 07/13  23:45:00,270490.1088
 07/13  23:50:00,266348.4576
 07/13  23:55:00,262181.0121
 07/13  24:00:00,257991.0891
