Date/Time,Electricity:Facility [J](TimeStep)
 07/13  22:40:00,436968.5507
 07/13  22:45:00,424050.2842
 07/13  22:50:00,410543.1484
 07/13  22:55:00,396596.118
 07/13  23:00:00,382311.9195
 07/13  23:05:00,322267.3314
 07/13  23:10:00,317412.4659
 07/13  23:15:00,314083.1665
 07/13  23:20:00,306316.9071
 07/13  23:25:00,300594.69
 07/13  23:30:00,295457.5399
 07/13  23:35:00,291624.8212
 07/13  23:40:00,289094.5192
 07/13  23:45:00,285166.4017
 07/13  23:50:00,279887.0477
 07/13  23:55:00,274536.8182
 07/13  24:00:00,269114.3282
